ě pé 	il a pris
Biŋ bɑ gu'tə Si nə thə́ a.	et elles glorifiaient Dieu à cause de moi.
A lə pǐŋ shyə́ gu' shwɔppfʉə mghǎm, ŋ bʉɔ gɔ Yerusalɛm, pyə Barnabas; ŋ də nə ghɔ dɑ́ ba Tito.	Ensuite, au bout de quatorze ans, je montai de nouveau à Jérusalem avec Barnabas, prenant aussi Tite avec moi.
A lə́ dú m nə ywə yə Zhwenyə Si lə ghə ŋ jyə́ a tə́ bʉɔ wə́ nə la'tə wap Cuŋ pɑpúŋ yə ŋ də bɑwə siŋ bi pɑ tə pɑ́ pɑ Yudea a bi pú; ŋ də piŋ da'tə ya bɔ bi pɔ pyə́ pu lə bɑwə shəŋtə́ nyəŋ də̀ŋ nə pú a, po'o bɑ bwɔk gɑ ŋ khɑ khʉdʉ́ kɑ m gɑ a kɑ́ pɑ́ bɑ gɑ̌ khʉdʉ́ néné lə́.	Or j’y montai selon une révélation, et je leur exposai l’évangile que je prêche parmi les nations, mais, dans le particulier, à ceux qui étaient considérés, de peur qu’en quelque manière je ne courusse ou n’eusse couru en vain
Da' gɑ pú la tə thə́nyə bǎ Tito, só ghìŋ a yə e bɑ yə Grikia a gɑ́ pu vó e pɑ́.	(cependant, même Tite qui était avec moi, quoiqu’il fût Grec, ne fut pas contraint à être circoncis):
Pú lə pé'e gə po'o, bɑ a lə bɑ fɑ m bi mfǎ fʉtə̀ pyə a lə bɑ wap twɔk ŋkho cəcɑ̌ pyə́, bɑwə sa' wɔk nə yɔk nə cyətə́ pɑ ŋkwɔ yə pyə́ gə shyə m nə Yeso a, bɑ shəŋ nə lɑ wɔk gə mkwɔ.	et cela à cause des faux frères, furtivement introduits, qui s’étaient insinués pour épier la liberté que nous avons dans le christ Jésus, afin de nous réduire à la servitude;
A lə pɑ̌ po'o la' pyə yu'nyə wap bǎ mu ywə pɑ́, po'o gɑ̀ pu tɔm nyənyɔ Cuŋ pɑpuŋ bi po.	auxquels nous n’avons pas cédé par soumission, non pas même un moment, afin que la vérité de l’évangile demeurât avec vous.
Da' gɑ́ sɔ' m nə́ nwə pɔ gwyə́: pa' Si tə́ dé pɑ dəŋ mo a pɑ́, bi a pɑ wap lə lɑ sɔmywə hyá a pɑ.	Or, de ceux qui étaient considérés comme étant quelque chose…, quels qu’ils aient pu être, cela ne m’importe en rien: Dieu n’a point égard à l’apparence de l’homme…, à moi, certes, ceux qui étaient considérés n’ont rien communiqué de plus;
Wap lə yɔ m gɑ́ a bɑ pu hɑ nə siŋ Cuŋ pɑpuŋ bi pɔ pyə pu ka vo wap a bəm pa' a bɑ pu hɑ nə siŋ Cuŋ pɑpuŋ bi pɔ pyə pu vo wap a bi Pɛtrɔ a.	mais au contraire, ayant vu que l’évangile de l’incirconcision m’a été confié, comme celui de la circoncision l’a été à Pierre,
Nə pa' mo yə é lə lɑ Pɛtrɔ gə gɑ nthəm pɔ pyə pu vo wap a lě gə gɑ ba myə yɑ̌ pɑ gɛ nthə̌m pɔ pyə́ wap tə bɑ pɑ Yudea a pɑ́.	(car celui qui a opéré en Pierre pour l’apostolat de la circoncision a opéré en moi aussi envers les nations),
A lə pɑ̌ po'o Yakop, Kefas ba Yohane pyə́ wap bɑ mgak a zhyə́ gho' yə Si hɑ bəm a, hɑ pú yap bəm ba m bi Barnabas, a pɑ́ mtiŋ gɑ́ pyə a pu pɑ ŋkwishwə po'o gɑ pyə nə ghɔ m bə̌ŋ pɔ pyə́ pu ka vo wap a, wap ghɔ yap m bə̌ŋ pɔ pyə́ pu vo wap.	et ayant reconnu la grâce qui m’a été donnée, Jacques, et Céphas*, et Jean, qui étaient considérés comme étant des colonnes, me donnèrent, à moi et à Barnabas, la main** d’association, afin que nous [allassions] vers les nations,
Tə ywə pɑ̀ da' gɑ pyə pɑ ŋkhamtə mpə́ŋ, a nə́ŋ bɑ ywə yə gɑ̌ gə gùŋ mcwə awɛ a.	et eux vers la circoncision, [voulant] seulement que nous nous souvinssions des pauvres, ce qu’aussi je me suis appliqué à faire.
Da' gɑ́ Kefas lə sɔ' Antiokia myə vá é sɔsɔ̌, bɑ ě hɔnwə.	Mais quand Céphas vint à Antioche, je lui résistai en face, parce qu’il était condamné.
Nə kəlɑ́ pɔ nə pɔ pyə́ pu a Yakop lə bɑ́ a lə nə sɔ', Kefas pu a pɑ tə pɑ́ pɑ Yudea pɑ dzʉnyə; da' gɑ́ wap lə cwə̌ tə́ sɔ̌' e to' nə pɑ́ jyə̌ wap, bɑ ŋkhʉ́ wap, bɑ bwɔk pɔ pyə a bɑ pu vó wap a.	Car, avant que quelques-uns fussent venus d’auprès de Jacques, il mangeait avec ceux des nations* ; mais quand ceux-là furent venus, il se retira et se sépara lui-même, craignant ceux de la circoncision;
Ba pyə́ shɑ́ pɑ Yudea lə́ to' yap nə ghə pa' yʉ a, tə ba Barnabas ko yə nə nə fʉtə yap.	et les autres Juifs aussi usèrent de dissimulation avec lui, de sorte que Barnabas même fut entraîné avec eux par leur dissimulation.
Da' gɑ́ cwə yə ŋ də yɔ gɑ́ wap tə̌ wə giŋ dəŋdəŋ nə́ nyənyɔ Cuŋ pɑpuŋ a pɑ́, ŋ gɔm bi Kefas dzə̌ guŋ pɔ awɛ gɑ: A pɑ gɑ́ wə yə́ o bɑ yə Yudea a, ǒ wə́ bvɔk pa' pɑ tə pɑ́ pɑ Yudea a, la' o vɔk m pa' yə Yudea a, bɑ o gɔ piŋ thə́nyə pɑ tə́ pɑ́ pɑ Yudea gɑ wap vɔk pa' pɑ Yudea a m gɑ kɑ̀?	Mais quand je vis qu’ils ne marchaient pas droit, selon la vérité de l’évangile, je dis à Céphas devant tous : Si toi qui es Juif, tu vis comme les nations et non pas comme les Juifs, comment contrains-tu les nations à judaïser?
Pɑ̌ bɑ́ pɑ Yudea pa' pu nə dzə wɔk pɑ a. Pɑ tə bɑ́ pɑ tə pɑ́ pɑ Yudea, mghɛ mhɔ pɑ̀.	Nous qui, de nature, sommes Juifs et non point pécheurs d’entre les nations,
Pɑ̌ bɑ pɑ̌ zhyə gɑ tə mfa' mco' nə gə mo pɑ́ dəŋdəŋ pɑ́, da' nə piŋ Yeso Kristo nə́ gə mo pɑ́ dəŋdəŋ; ba wɔk pɑ yɔk pɑ bɑ pɑ lě biŋ Yeso Kristo po'o gɑ pɑ cyə́ m nə nə́ piŋ Yeso Kristo bɑ dəŋdəŋ; a lə cyə́ m nə mfa' mco' pɑ, nə pa' sɔmmo tə gɔ sɔ' cyə m nə mfa' mco' pɑ́ dəŋdəŋ pɑ́.	sachant néanmoins que l’homme n’est pas justifié sur le principe des œuvres de loi, ni autrement que par la foi en Jésus Christ, nous aussi, nous avons cru au christ Jésus, afin que nous fussions justifiés sur le principe de la foi en Christ et non pas sur le principe des œuvres de loi: parce que sur le principe des œuvres de loi nulle chair ne sera justifiée.
Tə́ a pɑ gɑ́ pɑ lě shəŋ nə pɑ́ dəŋdəŋ m nə́ Kristo, pu yɔ gɑ́ pɑ̌ bɑ́ mghɛ mhɔ̀, bɑ á da'tə gɑ́ Kristo fa' bi mhɔ a? Tə́ gɛ̌.	Or si, en cherchant à être justifiés en Christ, nous-mêmes aussi nous avons été trouvés pécheurs, Christ donc est ministre de péché ? Qu’ainsi n’advienne !
A pɑ gɑ́ gɑ̌ piŋ ŋkwɑ ywə yə ŋ də sa'tə a, bɑ myə nə́ bɑ́ gɛ pɔptə mco'.	Car si ces mêmes choses que j’ai renversées, je les réédifie, je me constitue transgresseur moimême.
Nə pa' kwa' myə, a lə́ shyə pɑ́ nə mco' tə myə pfʉ́ nə mco', po'o gɑ́ biŋ bvɔk m̀ bi Si. A bɑ pyə Kristo pfʉ́ thə́ bɛnyəpɛnyə;	Car moi, par [la] loi, je suis mort à [la] loi, afin que je vive à Dieu.
Gɑ bɑwə bvɔ̌k, da' gɑ a tə́ jɑ̌ a pɑ́, Kristo nə bɑwə bvɔk nə m̀. Nə pa' kwa' vɔk a cwəlɔ nthʉm bap nɑ́, gɑ̌ bɑwə bvɔk yá m nthʉ̌m piŋnthʉm, piŋnthʉm nə Mú Si yə e lə kùŋ a tə hɑ vɔk e nə thə a lə.	Je suis crucifié avec Christ ; et je ne vis plus, moi, mais* Christ vit en moi;  et ce que je vis maintenant dans [la] chair, je le vis dans [la] foi, la [foi] au Fils de Dieu, qui m’a aimé et qui s’est livré lui-même pour moi.
Pɑ ŋ də ghə gɑ́ gho' Si pɑ́ pɔpɔ; nə pa' pu cyə m nə mco' tə bɑ dəŋdəŋ bɑ Kristo lě pfʉ́ pɑ pɔpɔ.	Je n’annule pas la grâce de Dieu ; car si [la] justice est par [la] loi, Christ est donc mort pour rien.
Wɔ pɑ Galata, mfʉmnyə́ pɔ, wɑ̌ fɛ́ wɔ? tə bɑ pú lə nə̌ŋ shəŋtə da'tə Yeso Kristo thə bɛnyəpɛnyə dzə̌ po nə mnyə mɔ?	Ô Galates insensés, qui vous a ensorcelés, vous devant les yeux de qui Jésus Christ a été dépeint, crucifié [au milieu de vous] ?
Po siŋ a yəŋ nwə̀: Po lə́ shyə pɑ m nə́ nə ghiŋ nə́ mco' tə́ ŋkwi Zhwenyə, kɑ m pa' po lə yu' ŋkhʉɔ piŋnthʉm a?	Je voudrais seulement apprendre ceci de vous: avez-vous reçu l’Esprit sur le principe des œuvres de loi, ou de l’ouïe de [la] foi?
Wɔ pɑ Galata, pǒ fʉmnyə tə́ dəŋ pa' a? Wɔ pyə́ po lə ləŋdzə ntho' m nə Zhwenyə á, já bap nɑ́ nə gɔ ghə tə́ po pɑ́ pɔ lə̀?	Etes-vous si insensés ? Ayant commencé par l’Esprit, achèveriez-vous maintenant* par la chair ?
Po yɔ́ dəŋ fa' e a gɔ cyə fé! Kwa' fě!	Avez-vous tant souffert en vain, si toutefois c’est en vain ?
Mo yə́ é hɑ Zhwenyə bi po biŋ bɑ gə msya cəcɑ̌ po á, e gə po'o pɑ́ nə pa' pǒ ghìŋ nə mco' a kɑ́ m pa' pǒ yu' ŋkhʉɔ piŋnthʉm a?	Celui donc qui vous fournit l’Esprit et qui opère des miracles au milieu de vous, [le fait-il] sur le principe des œuvres de loi, ou de l’ouïe de [la] foi?
Pa' Abraham lə́ ghə piŋnthʉm nə Si, Si yap gɑ́ e bɑ dəŋdəŋ bi á	comme Abraham a cru Dieu, et cela lui fut compté à justice.
po cəŋtə́ ju' gɑ pɔ pyə́ wap ghə piŋnthʉm a nə bɑ́ pó Abraham.	Sachez donc que ceux qui sont sur le principe de [la] foi, ceux-là sont fils d’Abraham.
A nə pɑ̌ po'o bɑ Ŋwa'nyə lə la' nə yɔ̌ gɑ Si gɔ sɔ' cyə m nə piŋnthʉm ghə pɑ tə pɑ́ pɑ Yudea cʉ' pɔ dəŋdəŋ siŋ Cuŋ pɑpuŋ yəŋ bi Abraham gɑ: Gùŋ mguŋ awɛ gɔ sɔ' cyə m nə o ghə byanyə́.	Or l’écriture, prévoyant que Dieu justifierait les nations sur le principe de [la] foi, a d’avance annoncé la bonne nouvelle à Abraham : «En toi toutes les nations seront bénies».
A po'o tə́ pɔ pyə wap biŋ a pɑ́ bɑ wap ghə byanyə́ pu a Abraham gɛ piŋ.	De sorte que ceux qui sont sur le principe de [la] foi sont bénis avec le croyant Abraham.
Nə pa' guŋ nə fá'fa' mco' awɛ bɑ nwə dò, nə pa' bɑ pu və gɑ: Dǒ bɑ́ thə́ mo yə e tə́ ŋkhaktʉɔ giŋ nə guŋ mco' awɛ myə́ a bɑ pú və nthʉ́m ŋwa'nyə mco' a pɑ́.	Car tous ceux qui sont sur le principe des œuvres de loi sont sous malédiction ; car il est écrit: «Maudit est quiconque ne persévère pas dans toutes les choses qui sont écrites dans le livre de la loi pour les faire» .
A nəŋ bɑ́ nyənyɔ gɑ́ sɔmmo tə́ bɑ́ dəŋdəŋ dzə̌ Si shyə́ m nə́ mco' pɑ, nə pa' mo dəŋdəŋ nə piŋnthʉm bɑ mo yə e gɔ sɔ' vɔk a.	Or que par [la] loi personne ne soit justifié devant Dieu, cela est évident, parce que : «Le justevivra de foi» .
A nə pɑ̌ po'o, mco' pu piŋnthʉm lə pɑ́ ta' ywə pɑ́. Mo yə e fa' pa' mco' gɔm a gɔ sɔ' vɔk pɑ́ nə mco'.	Mais la loi n’est pas sur le principe de [la] foi, mais : «Celui qui aura fait ces choses vivra par elles» .
Kristo bɑ e lě jó nə ŋkwi wɔk pɑ bi dò mco', nə kwǐ wɔk pɑ po'o bɑ e pʉɔ shʉ' dò nə pɑ, nə pa' a bɑ pu və gɑ: dǒ bɑ thə́ mo yə pu ciŋ e thə́ a.	Christ nous a rachetés de la malédiction de la loi, étant devenu malédiction pour nous (car il est écrit : «Maudit est quiconque est pendu au bois») ,
Po'o gɑ́ byanyə Abraham kə́m nə pɑ tə́ pɑ pɑ́ Yudea, shyə m nə Yeso Kristo, a piŋ bɑ́ po'o pɑ cyə́ m nə́ piŋnthʉm ŋkwi Zhwenyə, ywə yə pu lə ka' a.	afin que la bénédiction d’Abraham parvînt aux nations dans le christ Jésus, afin que nous reçussions par la foi l’Esprit promis.
Mfɑ̌mfɑ́, pɑ lɑ fo' nə́ mnwə myə mo gə a: sobo mka'nyə myə́ mǒ ŋkha' tə npfʉ́ a pɑ́ nə ŋkhɛ bɑ pu tə́ gwa' pɑ́, pu lə nəŋ ŋkwi' sɔmywə nə pɑ́.	Frères, je parle selon l’homme: personne n’annule une alliance qui est confirmée, même [celle] d’un homme, ni n’y ajoute.
Tə́ Si lə hɑ mka'nyə̀ bi Abraham ba m bi gwya e; a tə bɑ pu ghɔm m gɑ́ bi mgwya pɑ́ cwə yə́ a bɑ́ mgwyǎ yɔm a, a bɑ nwə ta' gwya yɑmu': bi gwya o. Yəŋ la'tə gɑ Kristo.	Or c’est à Abraham que les promesses ont été faites, et à sa semence. Il ne dit pas: «et aux semences», comme [parlant] de plusieurs ; mais comme [parlant] d’un seul: — «et à ta semence» , qui est Christ.
Kwɛnyə a bɑ́ gɑ: Si bɑ ě ləŋdzə jap ta' kɔ m nə ŋkhɛ. Mco' myə a biŋ nthəm jʉm nə gu' pǒtá mŋkhə pfʉ̀ə a, ka vɑnyə kɔ bɔ pɑ, po'o gɑ́ mka'nyə kɑ cyə fé.	Or je dis ceci : que la loi, qui est survenue quatre cent trente ans après, n’annule point une alliance antérieurement confirmée par Dieu, de manière à rendre la promesse sans effet.
Nə pa' a pɑ gɑ́ pú shyə m nə mco' tə́ gə mcʉ', bɑ a tə́ biŋ bɑ́ m nə mka'nyə pɑ. A nəŋ nə pɑ̌ po'o bɑ Si lə shyə pɑ́ m nə mka'nyə tə hɑ gho' e bi Abraham.	Car si l’héritage est sur le principe de loi, il n’est plus sur le principe de promesse ; mais Dieu a fait le don à Abraham par promesse.
Tə fɑ po'o mco' biŋ sɔ' m nə ghə gɑ́ kɑ̀? A sɔ' kwi' tə́ nə pɔptə mco' cəŋtə bɑwə́ tə bɑ nə byap gwya yə mka'nyə bɑ myə́ a. Pɑ aŋgəle nə lə gə pu zhyə́ mco' bɔ, shyə m nə pǔ ta' giŋjyə̀.	Pourquoi donc la loi? Elle a été ajoutée à cause des transgressions*, jusqu’à ce que vînt la semence à laquelle la promesse est faite, ayant été ordonnée** par des anges***, par la main d’un médiateur.
A nəŋ bɑ po'o, giŋjyə̀ bɔ lə pɑ̀ da' yə ta' mo. Si piŋ bɑ́ da' yʉ do e.	Or un médiateur* n’est pas [médiateur] d’un seul, mais Dieu est un seul.
Tə́ mco' gɔm ywə dyɛ' nə mka'nyə Si a? Gɛ̌. A lə pé'e bɑ gɑ́ pu lě hɑ ta' mco' myə a bɑ ǎ ghə tʉɔ nə gə mo vɔk a, bɑ nwə dəŋdəŋ fɑ nə mco'.	La loi est-elle donc contre les promesses de Dieu ? Qu’ainsi n’advienne ! Car s’il avait été donné une loi qui eût le pouvoir de faire vivre, la justice serait en réalité sur le principe de [la] loi.
Tə́ ŋwa'nyə bɑ a lě nyəŋ mhɔ nə guŋ ywə awɛ, nə tamtə bɑ́ ŋkwɔ, po'o gɑ́ a cyə m nə piŋnthʉm nə Yeso Kristo, mka'nyə pəmtə́ bi pɑ piŋ.	Mais l’écriture a renfermé toutes choses sous le péché, afin que la promesse, sur le principe de [la] foi en Jésus Christ, fût donnée à ceux qui croient.
Pǐŋnthʉm lə́ nə sɔ' bɑ pɑ lə bɑ mkwɔ bi mco' tə bɑ nə byap piŋnthʉm yə pu lə bɑ gɔ la'tə wɔk pɑ a.	Or avant que la foi vînt, nous étions gardés sous [la] loi, renfermés pour* la foi qui devait être révélée;
A po'o tə mco' lə bɑ gɛ lé wɔk pɑ̀ tə́ bɑ nə byap Kristo, po'o gɑ́ pɑ pɑ́ pɔ dəŋdəŋ shyə m nə piŋnthʉm.	de sorte que la loi a été notre conducteur* jusqu’à Christ, afin que nous fussions justifiés sur le principe de [la] foi ;
Da' gɑ cwə yə́ piŋnthʉm sɔ' a, pɑ tɑ jɑ́ nə bǔ gɛ lé pɑ.	mais, la foi étant venue, nous ne sommes plus sous un conducteur*,
Nə pa' gùŋ yɔ awɛ shyə m nə piŋnthʉm bɑ pó Si shyə m nə Yeso Kristo.	car vous êtes tous fils de Dieu par la foi dans le christ Jésus.
Əŋ, guŋ yɔ awɛ pyə́ po lə kwishyə nə Kristo a, a bɑ po lě ŋkwa Kristo nə po.	Car vous tous qui avez été baptisés pour Christ, vous avez revêtu Christ:
A pɑ po'o yə Yudea lə yɑwə́ kə yə Grikia lə; ŋkwɔ lə yɑwə́ kə tə́ pɑ ŋkwɔ lə; mbɛ lə yɑwə́ kɑ mjwǐ lə; nə pa' guŋ yɔ awɛ bɑ pɑ̀ yɑmu' m nə́ Yeso Kristo.	il n’y a ni Juif, ni Grec; il n’y a ni esclave, ni homme libre ; il n’y a ni mâle, ni femelle ; car vous tous, vous êtes un dans le christ Jésus.
Bi a po piŋ bɑ m bi Kristo, bɑ a da'tə gɑ po bɑ̀ gwya Abraham; a cyə m nə mka'nyə po pɑ́ pɑ tsʉ mcʉ'	Or si vous êtes de Christ, vous êtes donc [la] semence d’Abraham, héritiers selon [la] promesse.
Mkwɛnyə mə̌ bɑ gɑ: Dzʉmcʉ̌' bɑ cwə yə e yɑ mu a, pu ŋkwɔ pɑ́ pɑ ta' ywə́, ba pa' e bɑ tá guŋ pǒtsə awɛ a;	Or je dis qu’aussi longtemps que l’héritier est en bas âge, il ne diffère en rien d’un esclave, quoiqu’il soit seigneur de tout ;
e ju'nyə bi pɑ təmtə é ba m bi pɑ lé é tə́ ŋkhəm cwə yə́ tap é lə yap a.	mais il est sous des tuteurs et des curateurs jusqu’à l’époque fixée par le père.
Ba wɔk pɑ yɔk pɑ, cwə yə pɑ lə jɑ pó a, bɑ ju'nyə bi m nwə gʉ' dzʉ́ a, pɑ lə bɑ mkwɔ.	Ainsi aussi nous, lorsque nous étions en bas âge, nous étions asservis sous les éléments du monde;
Da' gɑ cwə lě shwə́ tə bəmtə́, Si tə́m Mu é, mjwǐ tsə é, e pɑ́ ŋkwɔ mco',	mais, quand l’accomplissement* du temps est venu, Dieu a envoyé son Fils, né** de femme, né**sous [la] loi,
tə nə jó gɑ́ pɔ pyə́ wap bɑ mkwɔ bi mco' a wap kɑ piŋ bɑ́ mkwɔ bi mco', a pɑ́ po'o tə́ a ghə pɑ cʉ' mcwəpó.	afin qu’il rachetât ceux [qui étaient] sous [la] loi, afin que nous reçussions l’adoption*.
Pǒ bɑ kwa' pǒ bɔ: bɑ Si lé nthəm Zhwenyə Mu é nthʉm tʉ́m pɑ gɑ́ a ghə pɑ pɑ́ shwé gɑ: Aba, a la'tə gɑ: Tá yɔ́k.	Et, parce que vous êtes fils, Dieu a envoyé l’Esprit de son Fils dans nos cœurs, criant : Abba*, Père :
O tə́ jɑ ŋkwɔ pɑ́, o bɑ mu, cwə yə o bɑ mu a, bɑ mu' dzʉmcʉ̌': a bɑ fa' Si.Polo wə bwɔk gɑ pɑ Galata gɔ pɑnyə nə ŋkwɔ	de sorte que tu n’es plus esclave, mais fils ; et, si fils, héritier aussi par Dieu.
A lə́ bɑ dzə bɑ po ka zhyə́ Si, po pɑ mkwɔ bi msǐ tə pɑ Si.	Mais alors, ne connaissant pas Dieu, vous étiez asservis à ceux qui, par [leur] nature, ne sont pas dieux:
Tə́ cwəlɔ yə a bɑ pǒ zhyə Si a, yə a bɑ ě zhyə́ wɔ a, tə́ pǒ biŋ bɑnyə nə mnwə gʉ' pɔ pɔ po'o gɑ a piŋ dɑ wɔ gə mkwɔ po'o m gɑ kɑ?	mais maintenant, ayant connu Dieu, mais plutôt ayant été connus de Dieu, comment retournezvous de nouveau aux faibles et misérables éléments auxquels vous voulez encore de nouveau être asservis ?
Pǒ nyəŋ dəŋ nə shɑ́ mtyɛ'dzʉ́, ba mŋwə́ dzʉ́, ba mwɔ̌ dzʉ́ pu a mgʉ' dzʉ́.	Vous observez des jours, et des mois, et des temps, et des années.
Pǒ wə gə myə pɑ́ bwɔk gɑ́ pɑtyɛ' bɑ ŋ dě fá' fà' pí bi po.	Je crains, quant à vous, que peut-être je n’aie travaillé en vain pour vous.
Po ghiŋ pa' myə a mfɑmfɑ, nə pa' a bɑ gɑ̌ cʉ' pa' wɔ a, gɑ̌ cwyɛ'nyə wɔ. Po ka hɔ kwa' sɔmywə bəm.	Soyez comme moi, car moi aussi [je suis] comme vous, frères ; je vous en prie. Vous ne m’avez fait aucun tort ;
Pǒ zhyə kwa' pɑpuŋ gɑ a lə shyə m nə gho tə myə siŋ wɔ Cùŋ pɑpuŋ nə də̀ŋdzə̀ cʉ̌m	et vous savez que dans l’infirmité de la chair je vous ai évangélisé au commencement ;
tə ba tə pa' nɑ a lə bɑ cwə o bɔ bɑwə sya wɔ tə' a, po lě tə́ kyak a, myə lə nəŋ hwi wɔ pɑ̀. Gɛ̌ po lə lɑ a m pa' ta' aŋgəle Si a, pa' Kristo Yeso a.	et vous n’avez point méprisé, ni rejeté avec dégoût ma* tentation qui était en ma chair ; mais vous m’avez reçu comme un ange de Dieu, comme le christ Jésus,
Kwa' ŋwɛnyə yɔ cwə o bɔ hɑ? Nə pa' gɑ̌ wə bɑ́ ŋkwinthɛ̌ gɑ: a lə pe' bɑ ywə yə pɑ́ mo ghə a bɑ po lě nthé mnyə mɔ hɑ bəm.	Quel était donc votre bonheur ? Car je vous rends témoignage que, si cela eût été possible, arrachant vos propres yeux, vous me les eussiez donnés.
Jyə gɑ́ a po'o bɑ gɑ̌ cʉ' gɛ bo yɔ pa' gɑ̌ siŋ wɔ nwə nyənyɔ a lə́?	Je suis donc devenu votre ennemi en vous disant la vérité ?
Sə́ŋnyə̀ yə pu wə sə́ŋnyə́ nə po a, a tə nwə pɑpúŋ pɑ́. Wap shəŋ da' nə té wɔ nə m̀ po'o gɑ po piŋ səŋnyə́ yɔ m nə pú.	Ils ne sont pas zélés à votre égard comme il faut, mais ils veulent vous exclure*, afin que vous soyez zélés à leur égard.
Nwə pɑpuŋ bɑ́ nə yɔ gɑ́ po səŋnyə́ nə mkwɛnyə pɑpuŋ, nə guŋ mcwə awɛ, tə da' nə cwə yə myə lə̌ cəcɑ̌ po a pɑ́,	Mais il est bon d’être toujours zélé pour le bien, et de ne pas l’être seulement quand je suis présent avec vous.
wɔ pó mkəcɔk po pɑ̌ pyə gɑ̌ ŋkwi' dzə́ wɔ nthʉm ghəghʉɔ m nə tsə́ sə́ a pɑ po'o tə̌ Kristo la' bɑ́ nə vɔk yɔ.	Mes enfants, pour l’enfantement desquels je travaille de nouveau jusqu’à ce que Christ ait été formé en vous,
Tə́ yɔ də̀ŋ pa' gɑ̌ wə sʉ́m gɑ́ da' a pe' bɑ bə́ŋ po cwəlɔ tə jɔ kwa' gi nə gɔm nwə bi po yə a ku' nə po a, nə pa' ŋ tə́ wə jyə pa' gɑ̌ gɔ ghə nə po á pɑ́. Mco' dɑ mo gə ŋkwɔ, gho' Si pɑ́ nthé mo nə ŋkwɔ	oui, je voudrais être maintenant auprès de vous et changer de langage, car je suis en perplexité à votre sujet.
Po siŋ á, wɔ pyə́ pǒ shəŋ nə ghiŋ nə mco' a, po tə́ ju' ywə yə mco' bɔ gɔm a pɑ á?	Dites-moi, vous qui voulez être sous [la] loi, n’écoutez-vous pas la loi ?
A bɑ pu və gɑ́ Abraham lə ghə pǒ pɑpʉə: yə mu' pu mjwǐ yə e lə bɑ ŋkwɔ a, gə yə mu' pu mjwǐ yə e la tə́ bɑ ŋkwɔ a pɑ.	Car il est écrit qu’Abraham a eu deux fils, l’un de la servante, et l’autre de la femme libre*.
Da' gɑ mú mjwǐ yə e lə bɑ ŋkwɔ a lə bɑ mu e shyə m nə bap nɑ̀, tə mu mjwǐ yə e la tə́ bɑ ŋkwɔ a pɑ́ pɑ mu e shyə m nə mka'nyə̀.	Mais celui qui [naquit] de la servante naquit selon la chair, et celui qui [naquit] de la femme libre [naquit] par la promesse.
