Sen_fre ,Sen_gho
"Car je vous dis qu’à quiconque a, il sera donné ; et à celui qui n’a pas, cela même qu’il a lui sera ôté.","E gh?m bi pu g?: G? si? w? g? pu g? s?' h? yw? bi mo y? e gh? yw? a, s?' m n? mo y? e ka gh? yw? a, ba y? muyw? y? a bi a pu kwi."
"Mais ceux-là, mes ennemis, qui n’ont pas voulu que je régnasse sur eux, amenez-les ici et tuez-les devant moi.","Ba po'o, po l? mgh? bo p?? py? wap ka t? b?w? bi? g? sa' wap a p? s?' dz? m? a, gwat? wap."
"Et ayant dit ces choses, il allait devant eux, montant à Jérusalem.","Yeso l? gh?m po'o, nthamdz? n? p?? d? m Yerusal?m."
"Et il arriva, comme il approchait de Bethphagé et de Béthanie, vers la montagne appelée des Oliviers, qu’il envoya deux de ses disciples, disant:","E l? gh? t? b? ?kh?m Befage pu Betanya n? gh?? ku? y? pu ?khe g? kú? mth? oliv? a, Yeso t?m sh? p?kh? py? p?p??"
"Allez au village qui est vis-à-vis ; et y étant entrés, vous trouverez un ânon attaché, sur lequel jamais aucun homme* ne s’assit ; détachez-le, et amenez-le.","g?m bi pu g?: Po gh? n? la' tsy? a? dz? a; po g? ko w? y? mú jakasi y? pu ka wu? ?kw?' n? e a, b? pu c?? é, po ky?' e n? s?'."
"Et si quelqu’un vous demande pourquoi vous le détachez, vous lui direz ainsi: Le Seigneur en a besoin.",Mo h??t? w? g?: Po ?khy?' e g? k?? Po gh?m g?: Cy?p? w? sh??.
"Et ceux qui étaient envoyés, s’en allant, trouvèrent [tout] comme il le leur avait dit.","P? py? pú l? t?m wap a, l? gh? bi? j? gu? yw? aw? p? pa' Yeso la' g?m a."
"Et comme ils détachaient l’ânon, les maîtres de celui-ci leur dirent : Pourquoi détachez-vous l’ânon?","Wap l? p?? ?khy?' mú jakasi, mgh? py?? gh?m bi pú g?: Po ?khy?' e g? k??"
Et ils dirent: Parce que le Seigneur en a besoin.,Wap gh?m g?: Cy?p? w? sh???.
"Et ils l’amenèrent à Jésus; et ayant jeté leurs vêtements sur l’ânon, ils mirent Jésus dessus.","Wap l? ma' mdz?? map d?m mú jakasi, d? e n? g? h? bi Yeso, Yeso kw??' d?m e."
"Et comme il allait son chemin, ils étendaient leurs vêtements sur le chemin.","Wap l? n? ghi?, l? p?mn?? p? si? mdz?? map m??jy?."
"Et comme il approchait déjà, à la descente de la montagne des Oliviers, toute la multitude des disciples, se réjouissant, se mit à louer Dieu à haute voix pour tous les miracles qu’ils avaient vus, disant:","wap l? gh? t? b? ?kh?m b?? Yerusal?m, n? m?jy? y? a dz?? f? m n? ku? mth? oliv?, gu? v?? p?kh? py? aw? ?w?ny?, b? go't? Si t? th? n? gu? msya my? wap l? y? a."
"Béni soit le roi qui vient au nom du *Seigneur*! Paix au ciel, et gloire dans les lieux très hauts!","Wap l? b?w? g?m g?: Byany? bi mo y? e w? s?' a, n? fo, tso Cy?p?!Hwit? p? k?b??, ghamt? p? bi Si."
"Et quelques-uns des pharisiens lui dirent du milieu de la foule : Maître, reprends tes disciples.","Sh? p? Farisai py? wap l? b?? c?c?? p?kh? py?? a l? gh?m bi Yeso g?: Ta, gh?m g? p?kh? pu l??t??."
"Et répondant, il leur dit: Je vous dis que si ceux-ci se taisent, les pierres crieront.",Yeso gh?m bi pú g?: G? si? w? g? wap la d?t? b? mw?' g? zhw?p!
"Et quand il fut proche, voyant la ville, il pleura sur elle, disant:","Yeso l? gh? t? b? ?kh?m b?? tisu?, j? tisu?, d?? n? é."
"Si tu eusses connu, toi aussi, au moins en cette tienne journée, les choses qui appartiennent à ta paix ! mais maintenant elles sont cachées devant tes yeux.","g?m g?: Ba w? yu? la' pe' jy? yw? y? bi a p? a h? hwit? bu! Da' g? a? cw?l? b? a? t?mny?, o l? p?w? j?."
"Car des jours viendront sur toi, où tes ennemis t’entoureront de tranchées, et t’environneront, et te serreront de tous côtés.","Sh? mty?'dz? w? s??' my? mgh? bo pu? g? tsam o ny?? tu?, hyany? o mgh?? mgh???."
"et te renverseront par terre, toi et tes enfants au dedans de toi ; et ils ne laisseront pas en toi pierre sur pierre, parce que tu n’as point connu le temps de ta visitation*.","tsa't? o, pu a po pu?, sa't? o, wap l? n? tak o, s?m gw?' y? d?m mú', pa' o le? t?? zhy?? ty?'dz?? y? pu l? k?ka o a."
"Et il entra au temple, et se mit à chasser dehors ceux qui y vendaient et qui y achetaient.",l? ko Dy? Si ntho' n? zh?? p? t?mt?.
"leur disant: Il est écrit: «Ma maison est une maison de prière»; mais vous, vous en avez fait une caverne de voleurs.",l? b? g?m bi pu g?: A b? pu le? bv?? g? dy? a g? s?' p? dy? mcwy?'ny? t? po n? g? dy? msamshw?.
"Et il enseignait tous les jours dans le temple; et les principaux sacrificateurs et les scribes, et les principaux du peuple, tâchaient de le faire mourir.","E l? b? Dy? Si gu? mty?'dz? aw? b? ji't? p?mn??. Mtady? mkamsi, pu a p? zhy? mco', ba mfo p? sh?? n? zhw? e."
Et ils ne trouvaient rien qu’ils pussent faire; car tout le peuple se tenait suspendu à ses lèvres pour l’entendre.,"Da' g? la' wap zhy? pa' wap g? gh? a, n? pa' p?mn?? l? b?w? sh??t?? bi? nw? y? e l? b?w? g?m a."
"Et David lui-même dit, dans le livre des Psaumes: «Le Seigneur a dit à mon seigneur:",N? pa' ba David y? g?m nth?m ?wa'ny? mzhw?p g?: Cy?p? gh?m bi Cy?p? a g?: Cw? n? gh?? pu t?? a
"Assieds-toi à ma droite, jusqu’à ce que je mette tes ennemis pour marchepied de tes pieds»",t? g? o ghi? d??m mgh? bo pu?.
David donc l’appelle seigneur; et comment est-il son fils?,"David ?khe e g? Cy?p? e, e pi? b? mú e m g? k??"
"Et comme tout le peuple écoutait, il dit à ses disciples:",Yeso l? pi? g?m bi p?kh? py? dz? gu? p? aw? g?:
"Soyez en garde contre les scribes, qui se plaisent à se promener en longues robes, et qui aiment les salutations dans les places publiques, et les premiers sièges dans les synagogues, et les premières places dans les repas;","Po p?m p? zhy?? mco' py? wap ?kwa ns?? dz? n? gi?, b? sh?? g? pu ca't? wap d?m sim, ba ?kho sinagog? shw? n? d??dz? kw?', bi? b? ts? la'nw? shw? p? n? d?? dz? ts?' a."
"qui dévorent les maisons des veuves, et pour prétexte font de longues prières ; — ceux-ci recevront une sentence plus sévère.","Wap py? wap mit? ts? mpf?k ndy? map, bi? b? g? ms??s?? mcwy?'ny? n? f?t? wap a. Pu g? s?' ny?? sh? y? a? cy? a th?' pú."
"Et comme il regardait, il vit des riches qui jetaient leurs dons au trésor.","Yeso l? p?' mny?, j? p? py? wap l? b?w? ny?? yw? nth?m kak y? pu ny?? yw? n?? fa' Dy? Si n? a."
Et il vit aussi une pauvre veuve qui y jetait deux pites*.,E l? y? b? mu' npf?k mjwi? s?' ny?? ts? b? p?? nth?m ó.
"Et il dit: En vérité, je vous dis que cette pauvre veuve a jeté plus que tous [les autres];",E gh?m g?: Kwa' ny?ny? g?? si? w? g? b?? npf?k mjwi? y?? g? ny?? shy? gu? p? aw?.
"car tous ceux-ci ont jeté aux offrandes [de Dieu] de leur superflu, mais celle-ci y a jeté de sa pénurie, tout ce qu’elle avait pour vivre.","N? pa' gu? p? aw? l? p? dzyak n? s?' h?, t? s?' m n? e, e gh? n? p?? é h? gu? y? yw? y? e k? g? n? v?k a."
"Et comme quelques-uns parlaient du temple [et disaient] qu’il était orné de belles pierres et de dons*, il dit:","Sh?? p? l? p? g?mnw? n? Dy? Si ba n? ts? mkwi? my? a l? b? n? Dy? Si a, mw?' pu a gu? ts? tsy? pu l? h? Dy? Si a, Yeso gh?m g?:"
"Quant à ces choses que vous regardez, les jours viendront où il ne sera laissé pierre sur pierre qui ne soit jetée à bas.","Mty?'dz? w? s??', my? a g? gh? n? mw?' ba?, s?m l? pi? shw? n? s?m á, b? pu kw?k ma't? si aw?."
"Et ils l’interrogèrent, disant: Maître, quand donc ces choses auront-elles lieu, et quel sera le signe quand ces choses devront arriver?","Wap h??t? Yeso g?: Ta, a g? s?' p? po'o so?? Pu g? s?' l? k? n? zhy? mnw? b???"
"Et il dit : Prenez garde que vous ne soyez séduits ; car plusieurs viendront en mon nom, disant : C’est moi, et le temps est proche ; n’allez point après eux.","Yeso gh?m bi pu g?: Po p?mt? g? mo k? gh? po h?jy??. N? pa' p? t? j?m g? s?' s?' n? tso ts?? pi? p? gh?m g?: A b? a, cw?? gh?pt?. Po p?mt? n? c??m j??m pú."
"Et quand vous entendrez parler de guerres et de séditions, ne vous épouvantez pas ; car il faut que ces choses arrivent premièrement ; mais la fin ne sera pas tout aussitôt.","P? g? s?' yu' shu, pu pi? b? g?mnw? n? shu. Po k? pw?k. A pu? g? ts? b? t?m aw?. Da' g? a l? wu? b? n? mi?."
"Alors il leur dit: Nation s’élèvera contre nation, et royaume contre royaume;",E l? pi? g?m bi pu g?: Mu' gu? g? s?' lo' y? mu' gu?; mu' n?fo p? do' y? mu' n?fo.
"et il y aura de grands tremblements de terre en divers lieux, et des famines, et des pestes ; et il y aura des sujets d’épouvantement et de grands signes du ciel.","Ca' g? s?' p? c?'ny? po'o té', mu' b?kb?k gho p? g?m p?mn?? jw?t? wap, a k?ya' v? n? sh? mts?'. Msya pu a sh? mti? t?m k?b??."
"Mais, avant toutes ces choses, ils mettront les mains sur vous, et vous persécuteront, vous livrant aux synagogues et [vous mettant] en prison; et vous serez menés devant les rois et les gouverneurs à cause de mon nom.","A g? s?' n? t?m po'o, b? pu gh?m w?, p?? l? w? y?go' sinagog?, ny?? w? dy?c??. P?? l? w? gh? dz? mfomfo pu a mg?pna' n? tso ts??."
Et cela se tournera pour vous en témoignage.,A cy? m po'o po p? mgh? kwinth? p??.
Mettez donc dans vos cœurs de ne pas vous préoccuper à l’avance de votre défense.,Ka lam ts?? s?? n? yw? y? po g? s?' n? kwinth? a.
"car moi je vous donnerai une bouche et une sagesse, à laquelle tous vos adversaires ne pourront répondre ou résister.",G? g? s?' h? gh?m ba f?? y? bi a p? s?m g? bo y? l? gh? ya a bi po.
"Et vous serez aussi livrés par des parents et par des frères, et par des proches et par des amis, et on fera mourir [quelques-uns] d’entre vous","Mf? p? ba mso p? g? s?' p? t??mn?? m?, zhw? bo'gwy? p? c?c?? po"
"Mf? p? ba mso p? g? s?' p? t??mn?? m?, zhw? bo'gwy? p? c?c?? po.",Gu? p? aw? g? s?' p? w? n? tso ts??.
Et pas un cheveu de votre tête ne périra.,Da' g? s?m ta' n?? th?? y? l? pi p?.
Possédez* vos âmes par votre patience.,A g? s?' cy? m n? kakt?? y? po v?k t?m ts?.
"Et quand vous verrez Jérusalem environnée d’armées, sachez alors que sa désolation est proche.","Cw? y? po g? s?' y? b? ms??wi l? Yerusal?m a, p? zhy?? g? cw? gh?gh?? é ku'."
"Alors, que ceux qui sont en Judée s’enfuient dans les montagnes ; et que ceux qui sont au milieu de Jérusalem s’en retirent ; et que ceux qui sont dans les campagnes* n’entrent pas en elle.","A la' t? b? po'o, p? py? wap Yudea a kh? g? m d?m khu?g??; p? py? wap nth?m tisu? a kh? nth?m, ba p? py? wap m go a k? p?ny? tisu?."
Car ce sont là des jours de vengeance* ; afin que toutes les choses qui sont écrites soient accomplies.,
Car ce sont là des jours de vengeance* ; afin que toutes les choses qui sont écrites soient accomplies.,"N? pa' a g? s?' p? ty?'dz? n? pa' bo, yw? y? pu l? v? a, a p?mt?."
"Mais malheur à celles qui sont enceintes et à celles qui allaitent en ces jours-là! car il y aura une grande détresse sur le pays, et de la colère contre ce peuple.","Gh?gh?? p?jwi? ts??m pu a m?? po n? ty?' dz? b?, n? pa' m?zhwi? g? s?' p?? nth?m gu?, lú? Si y? n? p?mn??."
"Et ils tomberont sous le tranchant de l’épée, et seront menés captifs parmi toutes les nations ; et Jérusalem sera foulée aux pieds par les nations jusqu’à ce que les temps des nations soient accomplis.","Pu p? d? mny?dw?p p?p? gwat? wap, mgu? mgu? p? g?m wap n? g? g? mkw? pap, p? t?? p? p? Yudea n??t? Yerusal?m t?? yap cw?dz?? ku?'."
"Et il y aura des signes dans le soleil et la lune et les étoiles*, et sur la terre une angoisse des nations en perplexité devant le grand bruit de la mer et des flots.","Mti? t?m n? nam, ba n? m??w??, ba m n? ms??, a pi? b? d?m sica?' mgu? p? jwi?. Lam tsap p? s? n?? n? cu' shy? l?p?? ba fa é."
"les hommes rendant l’âme de peur et à cause de l’attente des choses qui viennent sur la terre habitée, car les puissances des cieux seront ébranlées.","P?mn?? g? s?' pf?? cw?', b? bw?k yw? y? a g? cy? d?mca' a, n? pa' mt?? k?b?? g? s?' c?'ny?."
Et alors on verra le fils de l’homme venant sur une nuée avec puissance et une grande gloire.,A g? p? cw? o b? pu y? Mú mo e s?' d?m mlwa nth?m ghu't? ba t??.
"Et quand ces choses commenceront à arriver, regardez en haut, et levez vos têtes, parce que votre rédemption* approche.","Cw? y? mnw? b? g? t?m a, po ti?ny? d??d??, b?' mth?? m?, n? pa' cw? n? v?k w? gh?pt?."
Et il leur dit une parabole : Voyez le figuier et tous les arbres:,Yeso gh??m mu' gh?m t? tut? bi pu g?: Po le th?? nth?mmth? pu a gu? mth?? aw? t? j?.
"quand ils ont déjà commencé à pousser, vous connaissez par vous-mêmes, en les voyant, que l’été est déjà proche.",Cw? y? po j? b? mhw? to' n? tw?p n? a po gh?m g? cw?dz? p?pu? w? s??'.
"De même aussi vous, quand vous verrez arriver ces choses, sachez que le royaume de Dieu est proche.","A d??d?? po'o, po la' j? mnw? b? t?m po zhy? g? N?fo Si w? s??'."
"En vérité, je vous dis que cette génération ne passera point que tout ne soit arrivé.",G? w? si? w? kwa' ny?ny?: P?mn?? n? y?? w?dz?? t? g? s?' cy? t? mnw? b? s??' p?.
"Le ciel et la terre passeront, mais mes paroles ne passeront point.","K?b?? pu ca' g? s?' mi, da' g?? mgh?m m? t? g? la' mi p?."
"Et prenez garde à vous-mêmes, de peur que vos cœurs ne soient appesantis par la gourmandise et l’ivrognerie, et par les soucis de la vie, et que ce jour-là ne vous surprenne inopinément;",Po p?mt? g?? mlu' pu a yw?tsu? ba m n? zhwi? k? gh? t?m ts? pwa. Bw?k g? ty?'dz? b? k? s?' bvony?? w? vony?.
car il viendra comme un filet sur tous ceux qui habitent sur la face de toute la terre.,A g? s?' v? d?m gu? p? nth?m dz? aw? pa' ?kh? v??m a.
"Veillez donc, priant en tout temps, afin que vous soyez estimés dignes d’échapper à toutes ces choses qui doivent arriver, et de vous tenir devant le fils de l’homme.","Ka po ti, po p? shwy?'ny? Si gu? mcw? aw? po'o g? e h? gu' bi po, po v?k mnw? b? my? a g? s?' s?' a, t? ?wak y? dz? Mú mo d??d??."
Et il passait les jours dans le temple à enseigner ; et les nuits il sortait et demeurait dans la montagne qui est appelée des Oliviers.,"Yeso l? jw?k ji't? p?mn?? nw? Dy? Si, á cw? b? bwadz?? e gh? d?m ku? mth? oliv?."
"Et tout le peuple, dès le point du jour, venait à lui dans le temple, pour l’entendre.",Gu? p? aw? pi? b? s?' Dy? Si kwa' m?mp?m dz? b? ju' yw? y? e g?m a.
"Or la fête des pains sans levain, qui est appelée la Pâque, approchait.",Ty?'dz? ?w?ny? ms? t? ?kw?' ms? y? pu ?khe g? paska a l? p? s?'
Et les principaux sacrificateurs et les scribes cherchaient comment ils pourraient le faire mourir ; car ils craignaient le peuple.,"mtady? mkamsi pu a p? zhy? mco' p?w? sh?? pa' wap g? gh? t? zhw? Yeso a, n? pa' wap l? b?w? bw?k p?mn??."
"Et Satan entra dans Judas, surnommé Iscariote, qui était du nombre des douze.",A l? p? po'o Sata ko n? Yuda Iskari?t y? e l? b? mu' n? p?kh? Yeso shw?pp?? m gham a.
et il s’en alla et parla avec les principaux sacrificateurs et [les] capitaines sur la manière dont il le leur livrerait.,E gh? pu a mtady? mkamsi ba mtady? s??wi c?m pa' wap g? gh? t? e h? Yeso bi pu a.
"Et ils se réjouirent, et convinrent de lui donner de l’argent.","Wap l? ?w?ny?, bi? g? wap g? h? ?kháp bi e."
Et il s’engagea; et il cherchait une bonne occasion pour le leur livrer sans que la foule y fût.,"E l? pi? cw?l?, b?w? sh?? kwa' pá' e g? n? h? Yeso bi pu t? p?mn?? jy? a."
"Et le jour des pains sans levain, dans lequel il fallait sacrifier la pâque, arriva.","Ty?'dz? ms? t? kw?'ms?, ty?'dz? y? pu l? b?w? g? zhw? dz?? n? paska a l? kú'."
"Et il envoya Pierre et Jean, disant : Allez, et apprêtez-nous la pâque, afin que nous la mangions.",Yeso t?m P?tr? pu Yohane g?m bi pu g?: Po gh? nyapt? Paska p? ts??.
Et ils lui dirent : Où veux-tu que nous l’apprêtions?,Wap h??t? e g?: O sh?? g? py? nyapt? Paska ts?' k???
"Et il leur dit : Voici, quand vous entrerez dans la ville, un homme portant une cruche d’eau viendra à votre rencontre ; suivez-le dans la maison où il entrera.",E gh?m bi pu g?: Po g? n? ko tisu? po a mu' mb? yu't? b? e kwa gh?? shy?. Po yap j?m e po a pu gh? dy? ts?' y? e d? m n? a.
Et vous direz au maître* de la maison: Le maître** te dit : Où est le logis où je mangerai la pâque avec mes disciples?,Po gh?m bi g? dy? g?: Tá gh?m g?: Tw?'dy?? y? g? g? tsu paska n? py? a p?kh? p?? a h??
Et lui vous montrera une grande chambre* garnie ; apprêtez là [la pâque].,B? b? g? la't? w? tw?'dy?? b? a c??t? gy??'ny? m zh?? th?? n? pa' e. A po nyapt? gu? yw? aw? ts?'u.
"Et s’en étant allés, ils trouvèrent [tout] comme il leur avait dit ; et ils apprêtèrent la pâque.",Wap l? gh?? ?kho j? gu? yw? aw? p? pa' e la' g?m a. Wap nyapt? Paska.
"Et quand l’heure fut venue, il se mit à table, et les [douze] apôtres avec lui.",Cw? l? ku'u e cw? t?pe pu a mgh? nth?m py?.
"Et il leur dit : J’ai fort désiré* de manger cette pâque avec vous, avant que je souffre.",e gh?m bi pu g?: T? zhy? d?? pa' g? s?m g?? p? p?mt? dz? Paska y?? g? t? ? j?go'.
car je vous dis que je n’en mangerai plus jusqu’à ce qu’elle soit accomplie dans le royaume de Dieu.,N? pa' g? si? w? g? ? t? g? la' pi? ts? yá p? t? a la' b?mt? nth?m N?fo Si.
"Et ayant reçu une coupe, il rendit grâces et dit : Prenez ceci et le distribuez entre vous.",E l? kwi nthu?' go't? Si n?? g?m g?: Po k? gapt? c?c?? po.
"car je vous dis que je ne boirai plus du fruit de la vigne, jusqu’à ce que le royaume de Dieu soit venu.",G?? si? w? g? ? t? g? la' t? pi? nw? mlu' nth?m mth? p? t? k?m ty?'dz? y? N?fo Si s?' a.
"Et ayant pris un pain, [et] ayant rendu grâces, il le rompit, et le leur donna, en disant: Ceci est mon corps, qui est donné pour vous ; faites ceci en mémoire de moi.","E l? pe ms??, go't? Si, bo't?, h? bi pu g?m g?: Y?? b? n?? a y? pu h? n? po a. Po gh? po'o n? ?khamt? a."
"de même la coupe aussi, après le souper, en disant : Cette coupe est la nouvelle alliance en mon sang, qui est versé pour vous.","E l? kwi' g? po'o ba m n? nthu?', cw? y? wap l? mi? n? ts?yw? a, g?m g?: Nthu?' y?? g? b? k? s?? n? mcy? m??, my? pu pfy? n? po a."
"mais voici, la main de celui qui me livre est avec moi à table.",T?? y?: Pu? mo y? e h?? a y?? t?pe ts?'? py? e p?w? b?mt? dz?yw?ts?.
"Et le fils de l’homme s’en va bien, selon ce qui est déterminé; mais malheur à cet homme par qui il est livré!",N? pa' Mú mo g? p? pa' Si l? yap a; t?? gh?gh?? bi mo y? e h? é a.
"Et ils se mirent à s’entre-demander l’un à l’autre, qui donc serait celui d’entre eux qui allait faire cela.",P?kh? py? l? to' n? h??t? c?c?? pu g? ya mo n? pu l?? g? gh? po'o. W?? b? mo gwy??
Et il arriva aussi une contestation entre eux [pour savoir] lequel d’entre eux serait estimé le plus grand.,Wap l? p?? nth?shw? c?c?? pu n? mo y? e g? p? mo gwy?? c?c?? pu a.
"Et il leur dit : Les rois des nations les dominent, et ceux qui exercent l’autorité sur elles sont appelés bienfaiteurs.","Yeso gh?m bi pu g?: Mfomfo sa' mgu? map, p?? cya p? g? pu ke wap g? p? p?pu?."
"mais il n’en sera pas ainsi de vous ; mais que le plus grand parmi vous soit comme le plus jeune, et celui qui conduit comme celui qui sert.","Da' g? po t? b? y? m po'o p?: A pu? g? Mo gwy? c?c?? po cw? n? ts?' mukh??, a g? sa' cw? n? ts?' g?fa'."
"Car lequel est le plus grand, celui qui est à table ou celui qui sert ? N’est-ce pas celui qui est à table ? Or moi, je suis au milieu de vous comme celui qui sert.",A po'o mo gwy? p?? p? mo y? e t?pe a k? mo y? e d? yw? s?' t?pe a? A t? b? mo y? e t?pe a pa?? T?? g?? b? c?c?? po b?? p? g?fa'.
"Mais vous, vous êtes ceux qui avez persévéré avec moi dans mes tentations*.",Po b?? p? py? wap do' t? pwa j??m m? nth?m go' a.
"Et moi, je vous confère un royaume comme mon Père m’en a conféré un.",A g? cy? m po'o a h? N?fo bi po d??d?? pa' Ta h? N?fo b?m a.
